TRAVEL_ID,TRAVELER_ID,TRAVEL_NM,TRAVEL_PURPOSE,TRAVEL_PERSONA,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_STATUS_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,activity_payment_sum,activity_payment_count,activity_store_count,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,GENDER,AGE_GRP,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_DURATION_DAYS,TRAVEL_STATUS_LAG_DAYS,TRAVEL_START_YEAR,TRAVEL_START_MONTH,MISSION_CODE_COUNT,MISSION_CD_22,MISSION_CD_1,MISSION_CD_6,MISSION_CD_2,MISSION_CD_21,activity_history_rows,activity_type_unique,ACTIVITY_CD_1,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_CD_2,ACTIVITY_CD_3
e_e006489,e006489,E01,12;2;21;22;6,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션,2023-08-09,2023-08-10,,대중교통 등,6;21;27,42900,5,5,0,0,0,4.2,4.05,4.05,2,20,0.8,남,40,6,12.0,2,1,0,나홀로 여행,1,,2023,8,3,0,0,1,0,1,23,6,4,4,1,2,3
e_e006491,e006491,E03,2;22;26;3,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-14,2023-08-15,,자가용,21;26;22,89900,4,3,0,0,0,3.5,4.5,4.5,2,4,0.25,남,60,5,8.0,3,2,2,3대 동반 여행(친척 포함),1,,2023,8,3,1,0,0,0,1,6,3,3,1,2,0,0
e_e006492,e006492,E03,27;28;3,경기 방문/거주지 구분 없음/40세 이상/특별미션,2023-08-07,2023-08-08,,자가용,3;27;28,37600,2,2,0,0,0,3.8,4.2,4.4,2,5,0.6,여,60,3,8.0,3,4,1,2인 여행(가족 외),1,,2023,8,3,0,0,0,0,0,5,3,2,2,0,1,0
e_e006495,e006495,E01,1;21;22;24;3,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-06,2023-08-07,,대중교통 등,3;21;1,26100,4,4,0,0,0,3.8,3.6,3.8,2,5,0.2,여,20,3,12.0,2,1,0,나홀로 여행,1,,2023,8,3,0,1,0,0,1,10,6,2,1,2,3,1
e_e006497,e006497,E01,1;2;23,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-14,2023-08-16,,자가용,1;4;23,271200,6,5,177400,1,1,4.3,4.2,4.1,3,10,0.2,남,40,8,8.0,3,10,2,자녀 동반 여행,2,,2023,8,3,0,1,0,0,0,13,4,4,1,4,4,0
e_e006505,e006505,E01,22,서울 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-23,2023-08-24,,대중교통 등,1;24;22,97700,6,5,0,0,0,4.75,4.5,4.75,2,4,0.0,여,20,1,11.0,1,2,1,2인 여행(가족 외),1,,2023,8,3,1,1,0,0,0,10,4,2,0,2,4,2
e_e006506,e006506,E03,1;11;2;21;22,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2023-08-16,2023-08-17,,자가용,2;26;1,35300,4,4,0,0,0,3.5,3.25,3.5,2,4,0.0,남,30,4,6.0,2,4,2,자녀 동반 여행,1,,2023,8,3,0,1,0,1,0,9,5,2,2,2,1,2
e_e006507,e006507,E03,22;24;28;6,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-17,2023-08-18,,대중교통 등,6;22;24,82500,3,3,0,0,0,5.0,5.0,5.0,2,3,0.3333333333333333,남,20,4,8.0,2,1,1,2인 여행(가족 외),1,,2023,8,3,1,0,1,0,0,5,4,2,1,1,0,1
e_e006510,e006510,E03,22;26;4;6,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-13,2023-08-14,,대중교통 등,6;22;4,62800,4,4,0,0,0,3.8333333333333335,3.5,3.5,2,6,0.0,남,20,1,6.0,3,3,1,2인 여행(가족 외),1,,2023,8,3,1,0,1,0,0,10,5,4,1,3,1,1
e_e006513,e006513,E03,22;26;5;8,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-17,2023-08-18,,자가용,8;22;26,62800,4,4,0,0,0,4.444444444444445,4.444444444444445,4.333333333333333,2,9,0.2222222222222222,여,20,1,7.0,2,1,1,2인 여행(가족 외),1,,2023,8,3,1,0,0,0,0,12,4,0,2,4,5,1
