TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_RESIDENCE_CODE,TRAVEL_STATUS_DESTINATION_CODE
e005676,41,여,30,6,1,3,12,2,8.0,4,1,11,11440,11,11680,11,11170,6,경기도,서울,3인 이상 여행(가족 외),1,7.0,3.0,2,41,11
e003440,46,여,60,3,2,4,3,4,11.0,2,2,42,42150,43,43800,11,11110,1,전라남도,경기,자녀 동반 여행,3,2.0,1.0,2,46,41
e001257,11,여,60,6,2,4,2,5,8.0,3,4,50,50130,42,42210,48,48220,2,서울특별시,경기,2인 가족 여행,2,6.0,4.0,1,11,41
e008298,41,여,40,7,2,1,2,5,7.0,2,1,41,41290,26,26710,11,11680,4,경기도,경기,나홀로 여행,1,2.0,8.0,0,41,41
e011787,28,남,20,4,2,3,4,1,4.0,2,2,42,42210,44,44825,41,41390,6,인천광역시,경기,자녀 동반 여행,3,7.0,8.0,2,28,41
e003716,41,여,20,6,1,4,12,2,10.0,3,5,44,44200,42,42150,41,41820,7,경기도,경기,2인 여행(가족 외),5,1.0,7.0,1,41,41
e000006,11,남,30,7,1,1,3,5,7.0,3,4,26,26350,26,26710,50,50110,2,서울특별시,경기,2인 가족 여행,1,2.0,3.0,1,11,41
e003291,41,여,20,6,1,5,3,4,6.0,3,4,50,50110,26,26350,41,41820,7,경기도,경기,2인 여행(가족 외),1,3.0,2.0,1,41,41
e002157,41,여,30,7,1,3,13,4,6.0,2,3,42,42830,41,41220,11,11650,6,경기도,경기,2인 여행(가족 외),1,2.0,3.0,1,41,41
e003279,11,남,20,6,1,1,8,4,7.0,2,1,11,11710,41,41360,27,27110,4,서울특별시,경기,2인 여행(가족 외),3,5.0,1.0,1,11,41
