TRAVEL_ID,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION_CHECK
e_e002991,e002991,22;12;3;4;21,2023-06-10,2023-06-12,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;3;4
e_e003000,e003000,4;4;4;22;27,2023-06-29,2023-06-30,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,4;1;9
e_e003001,e003001,1;23;4;6;9,2023-06-16,2023-06-18,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,1;6;23
e_e003002,e003002,11;21;22;24;26,2023-07-07,2023-07-09,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,11;21;26
e_e003003,e003003,1;3;9;21;22;24;25;26,2023-06-12,2023-06-13,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,1;24;21
e_e003004,e003004,22;23;9;12;24;4;26,2023-07-01,2023-07-03,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,12;3;22
e_e003006,e003006,12;21;22;6,2023-06-11,2023-06-12,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,3;6;22
e_e003017,e003017,1;12;2;23;3,2023-06-11,2023-06-13,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,3;23;2
e_e003019,e003019,1;4;6;13;1;1;1,2023-06-15,2023-06-16,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;4;6
e_e003020,e003020,2;22;27;4;6,2023-07-02,2023-07-04,자가용,서울 방문/거주지 구분 없음/39세 이하/특별미션,6;1;26
e_e003022,e003022,23;24;22;3;1,2023-07-01,2023-07-03,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,23;5;1
e_e003023,e003023,8;22;24;5,2023-07-08,2023-07-10,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,8;5;22
e_e003025,e003025,2;3;6;9,2023-06-11,2023-06-12,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2;3;6
e_e003033,e003033,2;22;23;26,2023-06-11,2023-06-13,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,2;22;26
e_e003034,e003034,2;21;22;23;6,2023-06-18,2023-06-20,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,23;22;1
e_e003039,e003039,1,2023-06-16,2023-06-18,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;8;24
e_e003040,e003040,1;11;3;4,2023-06-19,2023-06-20,자가용,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,1;4;22
e_e003045,e003045,1;24;3;4;6,2023-06-17,2023-06-18,자가용,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,4;11;3
e_e003051,e003051,22;3;4,2023-06-24,2023-06-26,대중교통 등,서울 방문/거주지 구분 없음/40세 이상/특별미션,3;7;28
e_e003056,e003056,22;24;26;4;6,2023-06-25,2023-06-26,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,6;26;22
e_e003062,e003062,1;2;22;4;6,2023-06-23,2023-06-25,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;26;22
e_e003065,e003065,1;2;21;24;4,2023-07-02,2023-07-03,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,3;2;6
e_e003068,e003068,1;4;6;9,2023-06-11,2023-06-12,자가용,서울 방문/수도권 거주/40세 이상/커플/일반미션,2;3;11
e_e003071,e003071,2;3;22;1;6,2023-06-14,2023-06-16,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,3;2;22
e_e003073,e003073,1;11;2,2023-07-04,2023-07-06,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,1;22;24
e_e003079,e003079,12;21;27;3,2023-07-01,2023-07-03,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,1;3;21
e_e003080,e003080,8;27,2023-06-24,2023-06-26,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,8;27;7
e_e003083,e003083,1;22;24;3,2023-06-23,2023-06-24,대중교통 등,서울 방문/수도권 거주/40세 이상/커플/일반미션,3;6;24
e_e003086,e003086,1;22;4;6;7,2023-06-15,2023-06-17,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;4;24
e_e003095,e003095,2;22,2023-06-25,2023-06-26,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;22;24
e_e003097,e003097,28,2023-06-17,2023-06-18,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,28;5;24
e_e003102,e003102,1;22;23;4,2023-06-30,2023-07-02,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,23;1;4
e_e003103,e003103,2,2023-06-17,2023-06-18,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;8;22
e_e003107,e003107,2,2023-06-24,2023-06-26,자가용,서울 외 수도권 방문/수도권 외 거주/40세 이상/3인 이상 친구/일반미션,1;2;6
e_e003109,e003109,24,2023-06-24,2023-06-26,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,22;1;5
e_e003115,e003115,2;21;22;23;6,2023-06-25,2023-06-27,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부모 동반/일반미션,23;27;2
e_e003116,e003116,1;22,2023-06-13,2023-06-14,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;22;4
e_e003120,e003120,22;26,2023-07-02,2023-07-04,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,26;22;5
e_e003126,e003126,1;22;4;5;8,2023-06-24,2023-06-26,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,22;9;2
e_e003133,e003133,21;22;27;4,2023-07-08,2023-07-09,대중교통 등,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,3;27;21
e_e003137,e003137,5;1;22,2023-06-24,2023-06-25,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;1;22
e_e003138,e003138,2,2023-07-01,2023-07-02,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,2;7;6
e_e003143,e003143,1;3;4;23;24,2023-07-01,2023-07-03,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,23;1;22
e_e003150,e003150,8,2023-06-23,2023-06-25,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,8;24;1
e_e003156,e003156,1;22;23,2023-06-18,2023-06-20,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,23;1;22
e_e003158,e003158,21;22;24;26;27,2023-06-15,2023-06-16,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,4;24;21
e_e003159,e003159,21;24;26;27;4,2023-06-24,2023-06-26,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,24;21;4
e_e003162,e003162,1;22;23;3,2023-06-17,2023-06-19,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;3;22
e_e003172,e003172,1;23;6,2023-06-26,2023-06-28,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,23;1;6
e_e003175,e003175,11;25,2023-06-26,2023-06-28,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,25;2;24
e_e003180,e003180,1;24;6,2023-07-01,2023-07-02,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,6;1;24
e_e003184,e003184,8,2023-07-08,2023-07-10,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,8;21;5
e_e003190,e003190,2;22;9;9,2023-06-26,2023-06-28,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;8;22
e_e003194,e003194,3;4;6,2023-07-01,2023-07-03,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,3;21;24
e_e003196,e003196,1;10;2;23;4,2023-06-16,2023-06-18,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;4;23
e_e003198,e003198,1;2;7;8;9,2023-06-24,2023-06-26,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,2;8;23
e_e003199,e003199,1;6;22;26;3,2023-06-22,2023-06-23,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,6;1;26
e_e003202,e003202,22;23;24;7;21;27;28;5,2023-07-07,2023-07-09,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;24;7
