TRAVEL_ID,TRAVELER_ID,TRAVEL_LENGTH
a_a009413,a009413,2
a_a003709,a003709,4
a_a003308,a003308,3
a_a003546,a003546,2
a_a015335,a015335,2
a_a009439,a009439,2
a_a001612,a001612,4
b_b003330,b003330,3
a_a000728,a000728,3
a_a014688,a014688,2
a_a008090,a008090,4
a_a003068,a003068,3
a_a009655,a009655,2
a_a007602,a007602,2
a_a005832,a005832,2
a_a011212,a011212,3
a_a001627,a001627,2
a_a007280,a007280,2
a_a006054,a006054,3
a_a011248,a011248,2
a_a018132,a018132,2
a_a002841,a002841,3
a_a003947,a003947,3
a_a000221,a000221,2
a_a018036,a018036,2
a_a000884,a000884,2
a_a003242,a003242,4
a_a002202,a002202,3
a_a005693,a005693,3
a_a010415,a010415,3
a_a001308,a001308,3
a_a007127,a007127,2
a_a000933,a000933,3
a_a006280,a006280,2
a_a008007,a008007,2
a_a001509,a001509,3
a_a009466,a009466,3
a_a003374,a003374,4
a_a011531,a011531,2
a_a006401,a006401,2
a_a006998,a006998,2
a_a005677,a005677,2
a_a000189,a000189,3
a_a005417,a005417,2
a_a009627,a009627,2
a_a017753,a017753,2
a_a004933,a004933,2
a_a012194,a012194,3
a_a002010,a002010,2
a_a002585,a002585,2
a_a011587,a011587,3
a_a004208,a004208,3
a_a013695,a013695,2
a_a001898,a001898,3
a_a011803,a011803,4
a_a015319,a015319,2
a_a005205,a005205,2
a_a005135,a005135,2
a_a010285,a010285,4
a_a003487,a003487,2
a_a000544,a000544,2
a_a003291,a003291,2
a_a007026,a007026,2
a_a005492,a005492,3
a_a017683,a017683,2
a_a011190,a011190,2
a_a000116,a000116,4
a_a003124,a003124,4
a_a007027,a007027,2
a_a018049,a018049,2
a_a010072,a010072,2
a_a001978,a001978,3
a_a002662,a002662,2
a_a010456,a010456,2
a_a017858,a017858,2
a_a015373,a015373,2
a_a011616,a011616,2
a_a004305,a004305,2
a_a018224,a018224,2
a_a018116,a018116,2
a_a000864,a000864,3
a_a001464,a001464,2
a_a004308,a004308,2
b_b006538,b006538,2
a_a010287,a010287,3
a_a002640,a002640,2
a_a004348,a004348,4
a_a007079,a007079,2
a_a018162,a018162,2
a_a000097,a000097,5
a_a000136,a000136,3
a_a002666,a002666,4
a_a001516,a001516,3
a_a002192,a002192,3
a_a000019,a000019,3
a_a007205,a007205,2
a_a017538,a017538,2
a_a002425,a002425,4
a_a011646,a011646,2
a_a004008,a004008,3
c_c005343,c005343,2
a_a002494,a002494,2
a_a001305,a001305,3
a_a005285,a005285,3
a_a003848,a003848,2
a_a006590,a006590,2
a_a000491,a000491,3
a_a009411,a009411,2
a_a001282,a001282,3
a_a012173,a012173,2
a_a006712,a006712,2
a_a000051,a000051,4
a_a004807,a004807,3
a_a008049,a008049,2
a_a001892,a001892,3
a_a003320,a003320,2
b_b006838,b006838,2
a_a002205,a002205,2
a_a006803,a006803,2
a_a004547,a004547,3
a_a012357,a012357,3
a_a017991,a017991,2
a_a001981,a001981,5
a_a015346,a015346,2
a_a001810,a001810,3
a_a005748,a005748,2
a_a014057,a014057,3
a_a002165,a002165,3
a_a017814,a017814,2
a_a004088,a004088,2
a_a017808,a017808,2
a_a009766,a009766,2
a_a014461,a014461,2
a_a017844,a017844,2
a_a010215,a010215,2
a_a018011,a018011,2
a_a010009,a010009,4
a_a008060,a008060,2
a_a000706,a000706,3
a_a001199,a001199,3
a_a000485,a000485,4
a_a000212,a000212,4
a_a005158,a005158,2
a_a010127,a010127,3
a_a001584,a001584,4
a_a000050,a000050,2
a_a003750,a003750,3
a_a004696,a004696,2
a_a015295,a015295,2
a_a001483,a001483,3
a_a001130,a001130,3
a_a000982,a000982,3
a_a001949,a001949,3
a_a001216,a001216,4
a_a003156,a003156,2
a_a005986,a005986,2
a_a007290,a007290,2
a_a008044,a008044,2
a_a001971,a001971,3
a_a005956,a005956,3
a_a005485,a005485,2
a_a002091,a002091,3
a_a000820,a000820,2
a_a004420,a004420,4
a_a002701,a002701,3
b_b007021,b007021,2
a_a001352,a001352,3
a_a014301,a014301,2
a_a018221,a018221,2
a_a000978,a000978,4
a_a005487,a005487,2
a_a007180,a007180,2
a_a006449,a006449,2
a_a003694,a003694,3
a_a017989,a017989,2
a_a005643,a005643,2
a_a005675,a005675,2
a_a009740,a009740,4
a_a001295,a001295,3
a_a005994,a005994,2
a_a005616,a005616,2
a_a007333,a007333,2
a_a001428,a001428,3
a_a001699,a001699,3
a_a005992,a005992,2
a_a014856,a014856,2
a_a006352,a006352,2
a_a001350,a001350,4
a_a004909,a004909,2
a_a015837,a015837,5
a_a001123,a001123,3
a_a000506,a000506,11
a_a002679,a002679,3
