TRAVEL_ID,AGE_GRP,GENDER,MOVE_CNT,MVMN_NM,INCOME,HOUSE_INCOME,LODGING_PAYMENT_SUM,TRIP_DAYS,DGSTFN_AVG,RCMDTN_AVG,REVISIT_AVG,TRAVEL_START_YEAR,TRAVEL_START_MONTH,TRAVEL_START_YMD,TRAVEL_END_YMD,ACTIVITY_CD_1,ACTIVITY_CD_2,ACTIVITY_CD_3,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_HISTORY_ROWS,ACTIVITY_PAYMENT_SUM,ACTIVITY_TYPE_UNIQUE,MISSION_CODE_COUNT,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,IS_FAILED_TRIP,TRAIN_PURPOSE,TRAVEL_MISSION_CHECK,MISSION_PURPOSE_GAP_RATIO
e_e000334,20,여,6,자가용,4,10.0,48000,2,4.67,4.67,4.67,2023,5,2023-05-28,2023-05-30,4,1,2,2,2,11,156900,5,3,1,2인 여행(가족 외),0,1;22;26;6;9,1;12;22,0.3333
e_e000336,30,여,7,자가용,5,5.0,380241,3,5.0,5.0,5.0,2023,5,2023-05-27,2023-05-30,2,2,3,2,2,11,160100,5,3,2,자녀 동반 여행,0,11;23;26;3,1;2;23,0.6667
e_e000338,40,여,7,대중교통 등,3,9.0,0,1,4.57,4.57,4.86,2023,5,2023-05-19,2023-05-20,2,1,1,1,0,9,12500,6,3,0,나홀로 여행,0,21;22;24;26;6,22;26;6,0.0
e_e000342,60,남,13,대중교통 등,5,8.0,0,3,5.0,5.0,5.0,2023,5,2023-05-19,2023-05-22,6,2,1,5,4,25,531900,7,3,5,3대 동반 여행(친척 포함),0,1;21;22;24;4,21;22;4,0.0
e_e000344,30,남,5,자가용,5,5.0,444675,2,4.0,4.0,4.0,2023,5,2023-05-19,2023-05-21,4,1,2,5,5,17,168000,5,3,2,자녀 동반 여행,0,1;12;2;3;6,2;3;4,0.3333
e_e000345,30,남,11,대중교통 등,1,6.0,60000,2,4.0,3.36,3.45,2023,5,2023-05-19,2023-05-21,6,1,3,1,4,16,660100,6,3,2,3인 이상 여행(가족 외),1,22;6;9,22;6;9,0.0
e_e000346,60,남,2,자가용,6,6.0,0,1,4.0,3.5,3.5,2023,5,2023-05-27,2023-05-28,1,0,1,0,0,2,27000,2,3,2,3인 이상 여행(가족 외),1,21;22;24,21;22;5,0.3333
e_e000347,40,남,18,대중교통 등,5,8.0,50000,4,4.0,3.83,3.83,2023,5,2023-05-26,2023-05-30,8,3,1,2,0,19,873940,6,3,0,나홀로 여행,0,2;4;8,1;4;6,0.6667
e_e000350,30,여,3,자가용,1,5.0,0,1,3.33,3.33,3.33,2023,5,2023-05-18,2023-05-19,2,1,1,1,0,5,43500,4,3,2,자녀 동반 여행,1,1;2;22,1;2;22,0.0
e_e000352,30,여,11,대중교통 등,5,7.0,270000,2,3.73,3.64,3.64,2023,5,2023-05-21,2023-05-23,10,0,0,1,2,15,349400,4,3,1,2인 여행(가족 외),0,22;23;6;7,21;22;23,0.3333
e_e000353,40,여,5,자가용,2,7.0,0,1,4.2,4.2,4.2,2023,5,2023-05-23,2023-05-24,3,1,1,2,1,8,25000,5,3,0,나홀로 여행,0,1;22;6,1;2;3,0.6667
e_e000355,40,여,1,자가용,1,5.0,0,1,5.0,5.0,5.0,2023,5,2023-05-21,2023-05-22,3,0,1,0,1,5,101800,3,3,2,자녀 동반 여행,0,1;11;2;6,11;27;5,0.6667
e_e000357,30,여,8,대중교통 등,5,9.0,0,1,5.0,4.0,4.0,2023,5,2023-05-15,2023-05-16,4,0,0,0,0,8,1507300,4,3,0,나홀로 여행,0,1,1;6;7,0.6667
e_e000360,30,남,3,자가용,5,8.0,0,1,3.67,3.33,3.33,2023,5,2023-05-29,2023-05-30,3,0,2,1,1,7,62600,4,3,1,2인 가족 여행,1,21;22;24;26;9,2;21;22,0.3333
e_e000362,40,여,5,자가용,5,8.0,0,2,4.2,4.2,4.2,2023,5,2023-05-15,2023-05-17,3,1,1,3,1,9,196000,5,3,1,2인 가족 여행,0,1;2;22;5;8,22;5;8,0.0
e_e000364,30,여,5,대중교통 등,4,7.0,0,3,3.4,3.0,2.6,2023,5,2023-05-16,2023-05-19,2,2,2,2,2,10,22700,5,3,0,나홀로 여행,1,1;3;6,1;3;6,0.0
e_e000366,40,여,5,자가용,3,7.0,175130,2,4.0,4.0,4.0,2023,5,2023-05-20,2023-05-22,3,3,3,3,3,15,78930,5,3,2,자녀 동반 여행,0,2;5;6;8;9,1;2;8,0.3333
e_e000369,30,여,11,자가용,4,7.0,257400,2,4.18,4.27,3.64,2023,6,2023-06-05,2023-06-07,4,1,3,4,5,17,151300,5,3,0,나홀로 여행,0,1;3;6,23;3;6,0.3333
e_e000371,30,여,9,자가용,8,7.0,70000,3,5.0,4.56,5.0,2023,5,2023-05-26,2023-05-29,5,0,0,3,7,15,110900,3,3,0,나홀로 여행,0,1;11;4;7;9,21;24;6,1.0
e_e000373,60,여,3,자가용,1,5.0,0,1,5.0,5.0,5.0,2023,5,2023-05-20,2023-05-21,2,1,0,1,0,4,93300,3,3,3,3대 동반 여행(친척 포함),0,21;24;26;4,1;26;6,0.6667
e_e000375,40,여,12,자가용,4,7.0,0,2,4.42,4.5,4.42,2023,6,2023-06-03,2023-06-05,3,1,4,2,1,14,273900,7,3,3,자녀 동반 여행,0,11;2;21;22;26;28;6;8,11;2;3,0.3333
