TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
a_a014891,2,-0.3621813532210319,7,0,-0.3507747741807547,3.5
a_a003647,3,1.0821753828055842,8,0,1.0992350485321682,2.6666666666666665
a_a002884,3,-0.19662267596896915,28,0,-0.25269918783700857,9.333333333333334
a_a000749,2,-0.2708386347371352,4,0,-0.2059246774269143,2.0
a_a003876,2,-0.25656633497402637,4,0,-0.18329184980912677,2.0
a_a011478,2,-0.4049982525103584,5,0,-0.4186732570341174,2.5
a_a007960,2,-0.24514849516353926,5,1,-0.16518558771489672,2.5
a_a007506,3,-0.2622752548792699,13,0,-0.3221065258648904,4.333333333333333
a_a004294,2,-0.45352407170492853,6,0,-0.49562487093459506,3.0
a_a017967,2,-0.4278339321313326,4,0,-0.4548857812225775,2.0
a_a007334,2,-0.033918458669528216,4,0,0.16978026102835916,2.0
a_a009704,3,-0.13097009705866844,14,0,-0.18329184980912677,4.666666666666667
a_a007363,2,-0.29652877431073116,8,0,-0.24666376713893193,4.0
a_a000434,3,-0.12526117715342489,15,0,-0.1772564291110501,5.0
a_a011175,3,0.00033506076193303726,5,0,-0.04447717375336304,1.6666666666666667
a_a003481,3,0.711095588964754,6,0,0.706932703157184,2.0
a_a006982,2,-0.33649121364743595,6,0,-0.3100356844687371,3.0
a_a018082,2,-0.3878714927946278,3,1,-0.3915138638927723,1.5
a_a001540,3,0.45990311313403814,12,0,0.44137419244180986,4.0
a_a017503,2,-0.36503581317365363,7,0,-0.3553013397043122,3.5
a_a003322,4,0.20300171739807876,6,0,-0.018072208199277576,1.5
a_a000664,4,0.9251800854113869,16,0,0.5545383305307476,4.0
a_a001337,4,-0.1538057766796426,14,0,-0.30098255342162206,3.5
a_a010290,3,0.06313317971961199,15,0,0.02191245392548049,5.0
a_a006584,2,-0.5077588108047422,1,0,-0.5816296158821878,0.5
a_a017930,2,-0.4792142112785245,6,0,-0.5363639606466127,3.0
a_a015619,4,0.5198467721390954,7,0,0.23315217835816435,1.75
a_a006942,2,-0.5077588108047422,2,0,-0.5816296158821878,1.0
a_a013595,2,-0.3193644539317053,4,0,-0.282876291327392,2.0
a_a000563,3,0.12878575862991273,7,0,0.09131979195336225,2.3333333333333335
a_a007925,2,-0.5077588108047422,4,0,-0.5816296158821878,2.0
a_a001645,3,-0.4792142112785245,11,0,-0.5514525123918044,3.6666666666666665
a_a018089,2,-0.5077588108047422,7,0,-0.5816296158821878,3.5
a_a008098,2,-0.3935804126998714,3,0,-0.40056699493988734,1.5
a_a010135,5,1.1792270211947244,13,0,0.488450473886808,2.6
a_a009681,4,0.6054805707177485,12,0,0.301050661211527,3.0
a_a000546,3,0.011752900572420122,7,0,-0.032406332357209716,2.3333333333333335
