TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,TRAVEL_LENGTH,SEASON_Fall,SEASON_Summer,SEASON_nan,WEEKEND_RATIO,SEASON_Spring,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,IS_FAILED_TRIP,visit_trip_days,visit_move_cnt,AVG_ACTIVITIES_PER_DAY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM
e_e000357,1,2023-05-15,2023-05-16,대중교통 등,1;6;7,2,False,False,False,0.0,True,1507300,6,6,8,4,119000,0,0,0.0,2.0,10.0,4.0,41.0,여,30.0,5.0,2.0,4.0,3.0,5.0,9.0,2.0,2.0,나홀로 여행,0.0
e_e000360,21;22;24;26;9,2023-05-29,2023-05-30,자가용,2;21;22,2,False,False,False,0.0,True,62600,3,3,7,4,119000,0,0,1.0,2.0,5.0,3.5,41.0,남,30.0,7.0,2.0,2.0,3.0,5.0,8.0,3.0,5.0,2인 가족 여행,1.0
e_e000362,1;2;22;5;8,2023-05-15,2023-05-17,자가용,8;5;22,3,False,False,False,0.0,True,196000,4,4,9,5,119000,0,0,0.0,3.0,7.0,3.0,41.0,여,40.0,5.0,2.0,2.0,3.0,5.0,8.0,3.0,5.0,2인 가족 여행,1.0
e_e000364,1;3;6,2023-05-16,2023-05-19,대중교통 등,3;1;6,4,False,False,False,0.0,True,22700,4,4,10,5,119000,0,0,1.0,4.0,9.0,2.5,11.0,여,30.0,6.0,1.0,1.0,3.0,4.0,7.0,3.0,4.0,나홀로 여행,0.0
e_e000366,2;5;6;8;9,2023-05-20,2023-05-22,자가용,1;2;8,3,False,False,False,0.6666666666666666,True,78930,7,6,15,5,175130,1,1,0.0,3.0,7.0,5.0,11.0,여,40.0,5.0,2.0,3.0,2.0,3.0,7.0,2.0,2.0,자녀 동반 여행,2.0
e_e000369,1;3;6,2023-06-05,2023-06-07,자가용,3;6;23,3,False,True,False,0.0,False,151300,6,6,17,5,257400,1,1,0.0,3.0,13.0,5.666666666666667,41.0,여,30.0,6.0,1.0,4.0,3.0,4.0,7.0,2.0,2.0,나홀로 여행,0.0
e_e000371,1;11;4;7;9,2023-05-26,2023-05-29,자가용,6;24;21,4,False,False,False,0.5,True,110900,5,5,15,3,70000,1,1,0.0,4.0,11.0,3.75,41.0,여,30.0,7.0,1.0,1.0,2.0,8.0,7.0,3.0,2.0,나홀로 여행,0.0
e_e000373,21;24;26;4,2023-05-20,2023-05-21,자가용,26;6;1,2,False,False,False,1.0,True,93300,3,3,4,3,119000,0,0,0.0,2.0,5.0,2.0,11.0,여,60.0,6.0,2.0,3.0,11.0,1.0,5.0,3.0,6.0,3대 동반 여행(친척 포함),3.0
e_e000375,26;6;11;8;21;22;28;2,2023-06-03,2023-06-05,자가용,2;11;3,3,False,True,False,0.6666666666666666,False,273900,5,4,14,7,119000,0,0,0.0,3.0,14.0,4.666666666666667,11.0,여,40.0,7.0,2.0,4.0,1.0,4.0,7.0,2.0,1.0,자녀 동반 여행,3.0
e_e000376,3;4;22,2023-05-29,2023-05-30,자가용,22;24;3,2,False,False,False,0.0,True,66900,4,4,6,3,119000,0,0,1.0,2.0,6.0,3.0,11.0,여,50.0,6.0,2.0,4.0,11.0,1.0,8.0,2.0,1.0,3인 이상 여행(가족 외),2.0
e_e000377,1;11;21;22;6,2023-05-21,2023-05-22,자가용,6;22;24,2,False,False,False,0.5,True,147900,3,3,5,4,119000,0,0,0.0,2.0,6.0,2.5,41.0,여,30.0,6.0,2.0,4.0,11.0,1.0,6.0,2.0,1.0,자녀 동반 여행,3.0
e_e000379,11,2023-05-28,2023-05-29,자가용,11;1;6,2,False,False,False,0.5,True,107000,3,3,5,4,119000,0,0,0.0,2.0,6.0,2.5,11.0,남,40.0,6.0,2.0,3.0,3.0,7.0,10.0,3.0,4.0,자녀 동반 여행,2.0
e_e000381,22;24;26;5;8,2023-06-02,2023-06-05,자가용,8;24;5,4,False,True,False,0.5,False,51000,1,1,11,5,120000,1,1,0.0,4.0,5.0,2.75,41.0,여,30.0,6.0,2.0,4.0,3.0,3.0,7.0,2.0,1.0,자녀 동반 여행,3.0
e_e000384,21;22;25;3;8,2023-06-04,2023-06-07,자가용,21;8;22,4,False,True,False,0.25,False,138030,9,9,16,5,120000,1,1,1.0,4.0,10.0,4.0,41.0,여,30.0,6.0,2.0,2.0,3.0,8.0,12.0,2.0,2.0,2인 가족 여행,1.0
e_e000385,8,2023-05-21,2023-05-23,자가용,8;3;24,3,False,False,False,0.3333333333333333,True,112700,7,5,11,3,250000,1,1,0.0,3.0,9.0,3.6666666666666665,41.0,남,30.0,6.0,1.0,4.0,3.0,4.0,10.0,3.0,4.0,2인 여행(가족 외),1.0
e_e000387,2;27;5;7;8,2023-06-02,2023-06-05,자가용,8;5;27,4,False,True,False,0.5,False,44500,5,2,14,5,150000,1,1,0.0,4.0,6.0,3.5,11.0,남,30.0,6.0,2.0,4.0,4.0,1.0,6.0,2.0,2.0,자녀 동반 여행,3.0
e_e000395,1;2;22;23;4,2023-05-20,2023-05-22,자가용,4;23;22,3,False,False,False,0.6666666666666666,True,188500,9,7,15,5,172050,1,1,0.0,3.0,8.0,5.0,41.0,여,40.0,8.0,2.0,3.0,2.0,4.0,8.0,2.0,1.0,자녀 동반 여행,2.0
e_e000396,23,2023-05-20,2023-05-22,자가용,23;5;2,3,False,False,False,0.6666666666666666,True,168600,6,5,12,4,543400,1,1,0.0,3.0,11.0,4.0,41.0,여,30.0,6.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2인 가족 여행,1.0
e_e000397,21;22;24;6,2023-05-28,2023-05-30,자가용,21;5;22,3,False,False,False,0.3333333333333333,True,31000,1,1,5,4,200000,1,1,0.0,3.0,4.0,1.6666666666666667,11.0,여,50.0,6.0,2.0,4.0,3.0,5.0,11.0,2.0,1.0,3인 이상 여행(가족 외),2.0
e_e000400,21;22;24;26,2023-05-16,2023-05-17,자가용,24;22;26,2,False,False,False,0.0,True,32400,1,1,2,2,119000,0,0,0.0,2.0,3.0,1.0,11.0,남,50.0,7.0,2.0,4.0,2.0,1.0,11.0,2.0,1.0,3인 이상 여행(가족 외),3.0
e_e000403,10;21;22;6,2023-05-27,2023-05-29,대중교통 등,22;6;23,3,False,False,False,0.6666666666666666,True,213700,7,7,12,5,103370,1,1,0.0,3.0,13.0,4.0,41.0,여,40.0,5.0,1.0,2.0,3.0,4.0,6.0,3.0,3.0,3인 이상 여행(가족 외),2.0
e_e000406,11;2;24;3;9,2023-05-20,2023-05-22,자가용,24;2;8,3,False,False,False,0.6666666666666666,True,101000,3,3,7,4,119000,0,0,1.0,3.0,7.0,2.3333333333333335,11.0,여,60.0,6.0,2.0,3.0,2.0,2.0,7.0,2.0,1.0,3대 동반 여행(친척 포함),2.0
e_e000407,2;21;22;24;26,2023-05-27,2023-05-28,자가용,22;26;21,2,False,False,False,1.0,True,170000,3,3,5,3,119000,0,0,0.0,2.0,7.0,2.5,41.0,여,50.0,6.0,2.0,5.0,2.0,4.0,9.0,2.0,2.0,3인 이상 여행(가족 외),4.0
e_e000409,2;21;26;22,2023-05-23,2023-05-24,자가용,1;2;21,2,False,False,False,0.0,True,80300,4,4,10,5,119000,0,0,0.0,2.0,5.0,5.0,41.0,여,60.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,자녀 동반 여행,2.0
e_e000412,1;3;6;22,2023-06-03,2023-06-05,대중교통 등,3;1;22,3,False,True,False,0.6666666666666666,False,112800,10,10,21,6,81626,1,1,0.0,3.0,20.0,7.0,41.0,여,20.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,나홀로 여행,0.0
e_e000418,8;22;5,2023-06-03,2023-06-05,자가용,8;22;21,3,False,True,False,0.6666666666666666,False,48500,3,3,9,4,25300,1,1,0.0,3.0,7.0,3.0,11.0,여,40.0,6.0,2.0,3.0,2.0,5.0,10.0,2.0,1.0,자녀 동반 여행,2.0
e_e000422,1;11;22;3;4,2023-06-04,2023-06-07,자가용,23;6;21,4,False,True,False,0.25,False,55600,4,4,26,5,281358,2,2,0.0,4.0,14.0,6.5,44.0,여,40.0,7.0,2.0,4.0,11.0,1.0,6.0,2.0,3.0,나홀로 여행,0.0
e_e000425,22,2023-05-20,2023-05-21,자가용,22;9;8,2,False,False,False,1.0,True,41800,3,3,6,4,119000,0,0,1.0,2.0,4.0,3.0,41.0,여,30.0,6.0,2.0,4.0,3.0,6.0,11.0,2.0,1.0,자녀 동반 여행,3.0
e_e000429,1;4;22;6,2023-06-03,2023-06-04,자가용,1;22;4,2,False,True,False,1.0,False,74400,2,2,6,4,119000,0,0,0.0,2.0,4.0,3.0,28.0,여,40.0,6.0,2.0,3.0,11.0,4.0,12.0,4.0,1.0,자녀 동반 여행,2.0
e_e000430,1;2;4;5;7;10;21;22;24;26,2023-05-22,2023-05-26,자가용,2;4;22,5,False,False,False,0.0,True,140000,7,7,26,6,115000,2,2,1.0,5.0,17.0,5.2,11.0,남,20.0,4.0,1.0,1.0,4.0,4.0,7.0,2.0,4.0,나홀로 여행,0.0
e_e000432,1;22;23;4;5,2023-05-21,2023-05-23,대중교통 등,5;4;23,3,False,False,False,0.3333333333333333,True,136500,6,6,11,5,215600,1,1,0.0,3.0,11.0,3.6666666666666665,41.0,여,20.0,6.0,1.0,3.0,3.0,4.0,7.0,3.0,2.0,2인 가족 여행,1.0
e_e000433,2;22;26;4;8,2023-05-15,2023-05-16,자가용,8;2;26,2,False,False,False,0.0,True,68890,3,3,6,4,119000,0,0,0.0,2.0,5.0,3.0,41.0,여,20.0,6.0,1.0,3.0,2.0,4.0,8.0,2.0,1.0,2인 여행(가족 외),1.0
e_e000435,11;2,2023-05-27,2023-05-28,자가용,6;11;24,2,False,False,False,1.0,True,201900,9,5,7,3,119000,0,0,0.0,2.0,4.0,3.5,11.0,여,40.0,6.0,2.0,4.0,2.0,4.0,7.0,3.0,5.0,3인 이상 여행(가족 외),3.0
e_e000438,1;12;3;4;6,2023-05-27,2023-05-30,자가용,3;4;1,4,False,False,False,0.5,True,627600,18,15,34,6,555600,2,2,0.0,4.0,23.0,8.5,48.0,남,40.0,5.0,2.0,4.0,3.0,6.0,9.0,2.0,1.0,자녀 동반 여행,3.0
