TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,PAYMENT_NUM,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,LODGING_TYPE_NM,RSVT_YN_ENC,LODGING_TYPE_CD_ENC,PAYMENT_MTHD_SE_ENC
e_e000828,호텔알로하,2,1,Y,2,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-24 00:00:00,1,88000,호텔,1,0,0
e_e000840,공감키즈펜션,0,3,Y,4,정보없음,경기 가평군 상면 임초밤안골로 212,경기 가평군 상면 임초리 602-3,2023-05-27 00:00:00,1,279000,콘도미니엄,1,2,0
e_e000841,호텔도노,0,1,Y,3,정보없음,경기 수원시 팔달구 신풍로 68,경기 수원시 팔달구 장안동 30-6,2023-05-21 00:00:00,1,61643,호텔,1,0,0
e_e000856,맹그로브 신설점,0,11,Y,2,정보없음,서울 동대문구 왕산로 22,서울 동대문구 신설동 98-24,2023-05-24 00:00:00,4,229040,리조트,1,10,3
e_e000861,토요코인호텔 서울동대문2,0,1,Y,2,정보없음,서울 중구 퇴계로 325,서울 중구 광희동2가 14-1,2023-06-03 00:00:00,1,200170,호텔,1,0,0
e_e000863,소풍모텔,1,2,Y,2,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-05-27 00:00:00,3,59350,펜션,1,1,2
e_e000863,호텔아르떼,1,1,Y,2,아고다,정보없음,정보없음,2023-05-21 00:00:00,1,97325,호텔,1,0,0
e_e000865,오션솔레뷰호텔,0,1,Y,1,정보없음,인천 중구 영종진광장로 32,인천 중구 중산동 1947-1,2023-05-25 00:00:00,1,51000,호텔,1,0,0
e_e000872,칼봉산자연휴양림,0,9,Y,5,정보없음,경기 가평군 가평읍 경반안로 454,경기 가평군 가평읍 경반리 산 137,2023-06-03 00:00:00,1,130000,기타,1,8,0
e_e000877,경기도 용인시 양지면 식금리 182-46,0,10,Y,6,정보없음,식금리 182-46,정보없음,2023-05-26 00:00:00,3,200000,게스트하우스,1,9,2
e_e000883,토요코인호텔 서울강남점,0,1,Y,1,정보없음,서울 서초구 강남대로 323,서울 서초구 서초동 1337-27,2023-06-01 00:00:00,1,57269,호텔,1,0,0
e_e000902,돈키호텔,0,2,Y,2,정보없음,인천 중구 우현로9번길 36,인천 중구 사동 17-44,2023-05-24 00:00:00,1,35000,펜션,1,1,0
e_e000902,오션파크나인호텔,0,1,Y,2,정보없음,인천 중구 영종진광장로 10,인천 중구 중산동 1947-5,2023-05-24 00:00:00,1,36000,호텔,1,0,0
e_e000906,바다로글램핑,0,5,Y,1,정보없음,인천 강화군 화도면 해안남로 2421-228,인천 강화군 화도면 장화리 467-4,2023-06-05 00:00:00,5,210000,유스호스텔,1,4,4
e_e000906,장화리낙조마을,0,5,N,1,정보없음,정보없음,인천 강화군 화도면 장화리 433-4,2023-06-05 00:00:00,4,0,유스호스텔,0,4,3
e_e000917,파로스관광호텔,1,1,Y,4,아고다,정보없음,정보없음,2023-05-24 00:00:00,1,81358,호텔,1,0,0
e_e000930,어반스테이 부티크 익선,0,1,Y,2,정보없음,서울 종로구 돈화문로11나길 53,서울 종로구 익선동 53,2023-05-25 00:00:00,4,400000,호텔,1,0,3
e_e000936,오라카이 송도파크호텔,1,1,Y,2,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-05-26 11:39:00,1,111320,호텔,1,0,0
e_e000942,평화누리체험장,0,5,Y,2,정보없음,경기 연천군 장남면 원당로87번길 34,경기 연천군 장남면 원당리 678,2023-06-03 00:00:00,5,58000,유스호스텔,1,4,4
e_e000942,평화누리체험장,1,5,Y,2,연천평화누리체험장,경기 연천군 장남면 원당로87번길 34,경기 연천군 장남면 원당리 678,2023-06-03 00:00:00,1,58000,유스호스텔,1,4,0
e_e000946,파크 하얏트 서울,0,1,Y,1,정보없음,서울 강남구 테헤란로 606,서울 강남구 대치동 995-14,2023-05-26 00:00:00,1,429000,호텔,1,0,0
e_e000947,한화리조트 산정호수안시,1,4,Y,2,네이버파이낸셜주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,2023-03-23 00:00:00,1,60000,모텔/여관,1,3,0
e_e000950,개울가오토캠핑장,0,5,Y,10,정보없음,경기 가평군 설악면 유명로 654-58,경기 가평군 설악면 가일리 185-3,2023-06-03 00:00:00,5,270000,유스호스텔,1,4,4
e_e000951,궁게스트하우스,1,7,Y,1,종로한옥궁게스트하우스,서울 종로구 율곡로8길 67,서울 종로구 와룡동 60,2023-06-07 00:00:00,1,40000,전통숙소,1,6,0
e_e000961,황새울로258번길 35,0,10,N,4,정보없음,경기 성남시 분당구 황새울로258번길 35,정보없음,2023-05-26 00:00:00,4,0,게스트하우스,0,9,3
e_e000973,동화카라반캠핑장,1,5,Y,4,주식회사트립일레븐,서울 금천구 가산디지털1로 186,서울 금천구 가산동 459-11,2023-06-01 07:13:00,1,204320,유스호스텔,1,4,0
e_e000994,크리스월드,0,8,Y,3,정보없음,경기 가평군 가평읍 북한강변로 360-91,경기 가평군 가평읍 금대리 49-4,2023-06-09 00:00:00,5,210000,민박,1,7,4
